stco,year,whc,sand,silt,clay,om,kwfactor,kffactor,spH,slope,tfactor,ppt1,ppt2
1105,1992,22.437,23.515,30.011,46.474,101.623,0.245,0.247,6.318,54.413,4.618,528.041,596.44
1105,2001,22.449,23.418,30.383,46.199,101.003,0.247,0.248,6.348,55.254,4.611,795.813,740.487
1105,2006,22.293,22.829,30.585,46.586,101.832,0.247,0.248,6.396,55.348,4.591,405.487,483.461
1105,2011,22.261,22.567,30.659,46.773,102.259,0.247,0.248,6.41,55.417,4.585,646.295,566.454
1107,1992,23.358,36.45,30.795,32.756,88.276,0.273,0.273,5.408,50.972,4.546,586.272,648.3
1107,2001,23.221,36.438,30.661,32.901,88.006,0.271,0.271,5.426,50.982,4.537,691.939,849.722
1107,2006,23.203,36.412,30.677,32.911,88.109,0.271,0.271,5.429,51.028,4.535,480.008,638.86
1107,2011,23.181,36.351,30.732,32.917,88.202,0.272,0.272,5.436,50.993,4.532,739.993,823.266
1109,1992,20.118,60.548,15.796,23.656,87.921,0.192,0.192,5.062,48.497,4.963,688.065,685.287
1109,2001,20.259,60.572,15.74,23.688,90.258,0.191,0.191,5.072,49.305,4.96,971.1,748.874
1109,2006,20.248,60.635,15.7,23.665,90.544,0.191,0.191,5.074,49.424,4.96,440.769,571.49
1109,2011,20.24,60.671,15.699,23.629,90.562,0.191,0.191,5.074,49.447,4.96,465.143,474.704
1111,1992,20.024,54.853,18.628,26.519,67.569,0.17,0.216,5.296,33.821,4.644,693.514,707.22
1111,2001,19.419,55.282,18.771,25.947,69.463,0.17,0.216,5.312,32.893,4.588,855.522,694.304
1111,2006,19.421,55.286,18.772,25.942,69.479,0.17,0.216,5.312,32.884,4.59,549.99,706.738
1111,2011,19.403,55.299,18.769,25.932,69.476,0.17,0.216,5.312,32.87,4.587,557.694,489.567
1113,1992,21.278,53.564,19.295,27.141,67.603,0.229,0.229,5.026,58.357,4.889,612.665,621.891
1113,2001,21.526,51.442,19.885,28.673,64.482,0.231,0.231,4.952,56.109,4.875,819.474,594.322
1113,2006,21.489,51.95,19.694,28.356,65.729,0.23,0.23,4.965,57.117,4.874,475.853,538.804
1113,2011,21.471,52.162,19.625,28.213,66.012,0.23,0.23,4.97,57.349,4.874,517.618,445.169
1115,1992,20.069,27.842,39.786,32.372,52.977,0.254,0.323,5.031,36.289,4.295,624.019,721.153
1115,2001,19.584,28.254,39.473,32.273,52.083,0.254,0.32,5.027,35.268,4.222,858.195,887.323
1115,2006,19.639,28.216,39.528,32.256,52.169,0.255,0.321,5.029,35.483,4.226,523.117,615.229
1115,2011,19.641,28.197,39.547,32.256,52.173,0.255,0.321,5.029,35.504,4.227,810.947,811.929
1117,1992,22.925,28.704,37.392,33.903,129.959,0.253,0.301,5.062,33.811,4.509,548.813,645.669
1117,2001,22.191,28.748,37.398,33.854,127.323,0.251,0.303,5.049,33.551,4.399,845.377,861.763
1117,2006,22.415,29.023,37.219,33.758,129.855,0.253,0.302,5.054,33.849,4.433,532.297,664.875
1117,2011,22.482,29.058,37.191,33.751,130.547,0.253,0.302,5.055,33.919,4.442,654.764,623.439
1119,1992,21,22.929,36.587,40.484,57.053,0.246,0.298,6.468,45.561,4.118,634.1,671.407
1119,2001,20.97,22.058,36.737,41.205,57.681,0.245,0.297,6.484,45.331,4.105,744.94,843.805
1119,2006,20.967,21.792,36.892,41.315,58.213,0.244,0.298,6.512,45.31,4.099,517.873,633.745
1119,2011,20.92,21.674,36.991,41.334,58.701,0.244,0.298,6.53,45.233,4.091,772.017,763.126
1121,1992,25.055,28.647,34.636,36.717,96.53,0.24,0.269,5.13,37.595,4.763,564.436,637.014
1121,2001,24.92,29.112,34.547,36.341,96.205,0.237,0.27,5.118,37.086,4.772,842.989,825.135
1121,2006,24.967,29.044,34.562,36.394,96.233,0.237,0.27,5.121,37.207,4.774,531.86,678.259
1121,2011,24.981,29.069,34.569,36.363,96.376,0.237,0.27,5.121,37.236,4.775,710.047,612.549
1123,1992,25.069,49.721,22.364,27.916,73.22,0.24,0.243,5.247,36.205,4.75,642.931,664.912
1123,2001,24.931,48.619,23.457,27.924,73.555,0.244,0.248,5.29,35.321,4.735,861.918,643.413
1123,2006,25.008,48.938,23.143,27.919,73.997,0.243,0.246,5.284,35.493,4.742,448.61,480.176
1123,2011,25.007,48.929,23.158,27.914,74.149,0.243,0.246,5.284,35.486,4.742,559.989,521.002
1125,1992,28.057,40.109,35.121,24.77,113.759,0.308,0.317,5.082,42.299,4.693,588.067,672.326
